ft,zt,wo_len,ft2,zpt
0.655586,0.688558,0.143072,0.655586,0.708755
0.650798,0.680047,0.143072,0.650798,0.700012
0.645915,0.676227,0.144869,0.645915,0.689536
0.640939,0.666569,0.144869,0.640939,0.677638
0.635871,0.662364,0.146452,0.635871,0.668825
0.630712,0.652931,0.146452,0.630712,0.656861
0.625463,0.648275,0.147804,0.625463,0.647411
0.620124,0.639057,0.147804,0.620124,0.637193
0.614698,0.635307,0.148979,0.614698,0.629208
0.609184,0.629492,0.148979,0.609184,0.623979
0.603585,0.628344,0.150295,0.603585,0.621051
0.597901,0.621448,0.150295,0.597901,0.616618
0.592134,0.620077,0.151777,0.592134,0.613788
0.586285,0.612791,0.151777,0.586285,0.612272
0.580356,0.605245,0.153038,0.580356,0.602948
0.574347,0.594120,0.153038,0.574347,0.594673
0.568260,0.587377,0.153924,0.568260,0.587767
0.562098,0.577561,0.153924,0.562098,0.582684
0.555860,0.570822,0.154536,0.555860,0.573745
0.549550,0.560754,0.154536,0.549550,0.567036
0.543168,0.554704,0.154958,0.543168,0.563359
0.536715,0.545454,0.154958,0.536715,0.557336
0.530195,0.538854,0.155244,0.530195,0.549861
0.523608,0.531663,0.155244,0.523608,0.542854
0.516956,0.528444,0.155598,0.516956,0.536907
0.510241,0.522420,0.155598,0.510241,0.534230
0.503464,0.511766,0.155830,0.503464,0.520198
0.496628,0.500634,0.155830,0.496628,0.507851
0.489734,0.490472,0.155847,0.489734,0.498584
0.482785,0.482330,0.155847,0.482785,0.486808
0.475781,0.473694,0.155817,0.475781,0.477272
0.468726,0.466058,0.155817,0.468726,0.466039
0.461621,0.457507,0.155789,0.461621,0.459069
0.454468,0.451572,0.155789,0.454468,0.452898
0.447268,0.444273,0.155788,0.447268,0.442708
0.440025,0.438723,0.155788,0.440025,0.438017
0.432741,0.432540,0.155788,0.432741,0.437877
0.425416,0.420931,0.155788,0.425416,0.428893
0.418054,0.409472,0.155822,0.418054,0.420249
0.410657,0.401552,0.155822,0.410657,0.412793
0.403226,0.390799,0.155910,0.403226,0.404870
0.395764,0.384740,0.155910,0.395764,0.397231
0.388273,0.375208,0.156055,0.388273,0.389988
0.380755,0.369464,0.156055,0.380755,0.381704
0.373213,0.360505,0.156231,0.373213,0.374511
0.365649,0.355776,0.156231,0.365649,0.370912
0.358065,0.348830,0.156384,0.358065,0.366497
0.350463,0.338441,0.156384,0.350463,0.353602
0.342846,0.327905,0.156690,0.342846,0.339197
0.335215,0.321543,0.156690,0.335215,0.329378
0.327574,0.311032,0.157092,0.327574,0.319611
0.319925,0.305082,0.157092,0.319925,0.311043
0.312269,0.295187,0.157555,0.312269,0.300523
0.304609,0.291539,0.157555,0.304609,0.290903
0.296948,0.283555,0.157950,0.296948,0.282317
0.289287,0.279438,0.157950,0.289287,0.273703
0.281630,0.273710,0.158183,0.281630,0.270021
0.273978,0.271071,0.158183,0.273978,0.265907
0.266335,0.259940,0.158367,0.266335,0.255422
0.258701,0.252271,0.158367,0.258701,0.247854
